report_id,published_on,analyst_name,broker,ticker,sector,rating,target_price,prev_target_price,target_change
652430,2026-09-18,이환욱,유안타증권,,,,,,
652429,2026-09-18,백종민,유안타증권,,기계,,,,
652428,2026-09-18,"백종석,김지은",한국IR협의회,219420,,투자의견없음,,,
652427,2026-09-18,,유안타증권,,,,,,
652426,2026-09-18,김진범,상상인증권,,철강및금속,,,,
652425,2026-09-18,sk증권 리서치센터,SK증권,,,,,,
652424,2026-09-18,최관순,SK증권,,,,,,
652423,2026-09-18,송유림,한화투자증권,003530,,Buy,50000,,new
652422,2026-09-18,송유림,한화투자증권,003530,,Buy,50000,,new
652421,2026-09-18,투자분석부,IBK투자증권,,,,,,
652420,2026-09-18,이현욱,IBK투자증권,,,,,,
652419,2026-09-18,투자전략팀,한화투자증권,,,,,,
652418,2026-09-18,"이승훈, 박상준",IBK투자증권,,인터넷,,,,
652417,2026-09-18,"기간산업분석부, 혁신기업분석부",IBK투자증권,,,,,,
652416,2026-09-18,"김운호, 고혁진",IBK투자증권,,,,,,
652415,2026-09-18,양승수,메리츠증권,000150,,투자의견없음,,,
652414,2026-09-18,조은애,IBK투자증권,,,,,,
652413,2026-09-18,조은애,IBK투자증권,,,,,,
652412,2026-09-18,"김준성,배현서",메리츠증권,,운송,,,,
652411,2026-09-18,"고의영, 박정하",iM증권,009150,,Buy,2100000,2000000,raised
652410,2026-09-18,리서치센터,대신증권,,,,,,
652409,2026-09-18,"황산해, 성현영",LS증권,,,,,,
652408,2026-09-18,양승윤,유진투자증권,,기계,,,,
652407,2026-09-18,양승윤,유진투자증권,,기계,,,,
652406,2026-09-18,"민경원,임환열",우리은행,,,,,,
652405,2026-09-17,sk증권 리서치센터,SK증권,,,,,,
652404,2026-09-17,원유승,SK증권,,,,,,
652403,2026-09-17,"한승한, 고서영",SK증권,,코스피 200 조선운송,,,,
652402,2026-09-17,"한승한, 고서영",SK증권,010140,,매수,40000,40000,held
652401,2026-09-17,"한승한, 고서영",SK증권,443060,,매수,340000,340000,held
652400,2026-09-17,"한승한, 고서영",SK증권,082740,,매수,90000,90000,held
652399,2026-09-17,"한승한, 고서영",SK증권,329180,,매수,970000,970000,held
652398,2026-09-17,김예슬,IBK투자증권,,,,,,
652397,2026-09-17,변준호,IBK투자증권,,,,,,
652396,2026-09-17,투자분석부,IBK투자증권,,,,,,
652395,2026-09-17,정형주,IBK투자증권,,,,,,
652394,2026-09-17,"이승훈, 박상준",IBK투자증권,,인터넷,,,,
652393,2026-09-17,"기간산업분석부, 혁신기업분석부",IBK투자증권,,,,,,
652392,2026-09-17,하현수,유안타증권,310210,,Buy,450000,450000,held
652391,2026-09-17,이환욱,유안타증권,,,,,,
652390,2026-09-17,,유안타증권,,,,,,
652389,2026-09-17,정경희,LS증권,011780,,Hold,127000,166000,lowered
