ticker,name_en,name_ko,market,sector_ko,fiscal_year,headcount,men,women,women_share,tenure_years,tenure_years_men,tenure_years_women,tenure_ratio_women_to_men,annual_pay_per_person_krw_men,annual_pay_per_person_krw_women,pay_ratio_women_to_men,pay_ratio_withheld_reason,close_price_krw,market_cap_krw,listed_shares,price_as_of
000120,CJ Logistics Corporation,CJ대한통운,KOSPI,육상운송,2025,6847,5771,1076,0.157,9.95,10.5,7,0.667,78000000,60000000,0.769,,73000,1665301112000,22812344,20260909
453340,"HYUNDAI GREEN FOOD CO., LTD",현대그린푸드,KOSPI,소매업,2025,6543,2411,4132,0.632,6.28,6.38,6.22,0.975,53851817.92,41589160.7,0.772,,18520,601373791240,32471587,20260909
161390,"HANKOOK TIRE & TECHNOLOGY CO.,LTD",한국타이어앤테크놀로지,KOSPI,고무·플라스틱,2025,6493,6091,402,0.062,11.12,11.4,6.9,0.605,101000000,74000000,0.733,,63100,7816516853900,123875069,20260909
051600,"KEPCO Plant Service & Engineering Co., Ltd",한전KPS,KOSPI,전문직별 공사,2025,6485,5826,659,0.102,13.86,14.6,7.3,0.5,85739000,60629000,0.707,,48000,2160000000000,45000000,20260909
039570,"HDC LABS Co., Ltd.",HDC랩스,KOSPI,전문직별 공사,2025,6465,3917,2548,0.394,2.87,2.91,2.82,0.969,32576461.58,26198587.13,0.804,,7570,196499039570,25957601,20260909
021240,"COWAY Co., Ltd.",코웨이,KOSPI,기타 개인 서비스,2025,6352,3674,2678,0.422,9.33,7.93,11.24,1.417,74175000,59997000,0.809,,97800,6921054262800,70767426,20260909
034020,"DOOSAN ENERBILITY CO., LTD.",두산에너빌리티,KOSPI,기타 기계·장비,2025,6233,5768,465,0.075,13.4,14,6,0.429,104000000,57000000,0.548,,91700,58739457088200,640561146,20260909
280360,"LOTTE WELLFOOD CO.,LTD",롯데웰푸드,KOSPI,식료품 제조,2025,5825,3496,2329,0.4,14.35,16.72,10.8,0.646,74205663.62,40868613.14,0.551,,139100,1280356243400,9204574,20260909
307950,HYUNDAI AUTOEVER CORPORATION.,현대오토에버,KOSPI,출판업,2025,5753,4227,1526,0.265,6.91,7.53,5.19,0.689,104035486.16,85745085.19,0.824,,392500,10763912935000,27423982,20260909
000810,"SAMSUNG FIRE & MARINE INSURANCE CO.,LTD",삼성화재해상보험,KOSPI,보험·연금,2025,5535,2997,2538,0.459,15.9,16.5,15.2,0.921,185737000,126352000,0.68,,641000,28619030193000,44647473,20260909
009830,HANWHA SOLUTIONS CORPORATION,한화솔루션,KOSPI,화학물질·화학제품,2025,5503,4738,765,0.139,10.31,10.73,7.68,0.716,92813634.44,61090196.08,0.658,,30800,6926690108800,224892536,20260909
004370,"NONGSHIM CO.,LTD",농심,KOSPI,식료품 제조,2025,5501,2455,3046,0.554,11.1,14.2,8.6,0.606,80000000,54000000,0.675,,413500,2515172467000,6082642,20260909
073240,"KUMHO TIRE CO., INC.",금호타이어,KOSPI,고무·플라스틱,2025,5463,5210,253,0.046,18.17,18.38,13.76,0.749,92000000,73000000,0.793,,7100,2039548037700,287260287,20260909
207940,"SAMSUNG BIOLOGICS CO.,LTD.",삼성바이오로직스,KOSPI,의료용 물질·의약품,2025,5455,3026,2429,0.445,4.93,5.6,4.1,0.732,121000000,106000000,0.876,,1452000,67214460852000,46290951,20260909
079550,"LIG Defense&Aerospace Co., Ltd.",LIG디펜스앤에어로스페이스,KOSPI,금속가공제품,2025,5382,4668,714,0.133,10.37,10.7,8.2,0.766,112882176.52,89778711.48,0.795,,670000,14740000000000,22000000,20260909
017670,"SK TELECOM CO.,LTD",SK텔레콤,KOSPI,통신업,2025,5316,4047,1269,0.239,13.7,15.2,8.9,0.586,178000000,115000000,0.646,,91300,19610331838900,214790053,20260909
028050,"SAMSUNG E&A CO.,LTD",삼성E&A,KOSPI,건축기술·엔지니어링,2025,5249,4676,573,0.109,11.86,11.95,11.12,0.931,136111206.16,106106457.24,0.78,,50800,9956800000000,196000000,20260909
047810,"KOREA AEROSPACE INDUSTRIES, LTD.",한국항공우주,KOSPI,기타 운송장비,2025,5241,4762,479,0.091,13.69,14.27,7.9,0.554,123567828.64,87622129.44,0.709,,129100,12584036313700,97475107,20260909
005300,"LOTTE CHILSUNG BEVERAGE CO.,LTD",롯데칠성음료,KOSPI,음료 제조,2025,5217,4303,914,0.175,15.05,16.08,10.19,0.634,79605623.98,44420131.29,0.558,,97500,904691190000,9278884,20260909
047040,"DAEWOO ENGINEERING & CONSTRUCTION CO.,LTD",대우건설,KOSPI,종합 건설,2025,5146,4503,643,0.125,16.48,17.08,12.31,0.721,103124583.61,68175738.72,0.661,,19450,7992153559100,410907638,20260909
032830,"Samsung Life Insurance co., Ltd",삼성생명,KOSPI,보험·연금,2025,5124,2673,2451,0.478,17.35,16.3,18.5,1.135,182000000,125000000,0.687,,303500,60700000000000,200000000,20260909
001680,DAESANG CORPORATION,대상,KOSPI,식료품 제조,2025,5106,2600,2506,0.491,12.17,12.39,11.94,0.964,85984615.38,49811652.04,0.579,,18560,643067344000,34648025,20260909
035420,NAVER Corporation,NAVER,KOSPI,정보서비스업,2025,5047,2897,2150,0.426,7.66,8,7.2,0.9,160000000,126000000,0.788,,210000,31936063110000,152076491,20260909
