# SeoulMarkets — Korean Listed Workforce Panel — FULL CATEGORY SAMPLE
# Category: Electronics and telecom equipment (320 of 320 listed companies in this KSIC division)
# Source: FSS DART annual reports (empSttus/exctvSttus) parsed by us; market cap from KRX (data.go.kr), 2026-08-05.
# Figures as filed. Empty cell = not disclosed (not zero). Definitions in method.md. Corrections in corrections.csv.
# Not investment advice. https://seoulmarkets.com/rankings
company_en,ticker,industry,avg_tenure_years,tenure_gap_M_minus_F_years,avg_annual_pay_krw,female_to_male_pay_pct,employees,female_share_pct,ceo_tenure_months,market_cap_per_employee_krw
"GEOMC CO., LTD.",033030,Electronics and telecom equipment,5.2,1.42,57895893,123.4,3,33.3,34.9,
"SAMWHA CAPACITOR CO.,LTD",001820,Electronics and telecom equipment,7.51,0.9,62937485,91.5,658,20.8,39,1276468085
ThinkwareSystemsCorporation,084730,Electronics and telecom equipment,5.9,3.17,50098859,80.8,263,19,14,276257160
INTELLIAN TECHNOLOGIES Inc.,189300,Electronics and telecom equipment,5.02,1.09,70694000,72.3,500,10.2,,1507544579
"IDP Corp., Ltd.",332370,Electronics and telecom equipment,7.63,3.9,85931034,55.9,58,17.2,20,1258715397
"ACTRO CO.,Ltd",290740,Electronics and telecom equipment,5.41,2.25,100888313,41.4,64,18.8,,1258126375
"ZalmanTechCo.,Ltd.",090120,Electronics and telecom equipment,5.63,-1.03,68010364,68.4,33,15.2,8.7,
"Q.S.ICo.,Ltd.",066310,Electronics and telecom equipment,6.72,3,35565217,57.5,138,26.1,25.3,501205019
"AVATEC CO.,LTD.",149950,Electronics and telecom equipment,7.03,2.9,57077406,72.4,387,12.9,24,307964781
"WIWORLD Co.,Ltd",140660,Electronics and telecom equipment,6.69,3.25,32310345,87.9,29,17.2,26.1,56692192
"IK Semicon Co., Ltd.",149010,Electronics and telecom equipment,2.2,1.2,49750000,55.4,20,25,26,543660000
"POONGWON PRECISION Co.,Ltd.",371950,Electronics and telecom equipment,5.66,-3.7,51881081,83,185,12.4,29.6,610051292
"BCnC Co., Ltd.",146320,Electronics and telecom equipment,4.25,-0.05,48855261,87,303,17.8,22.3,422373696
ODTech,080520,Electronics and telecom equipment,7.7,0,33564286,91.4,280,47.9,24,123535657
KOREA COMPUTER INC.,054040,Electronics and telecom equipment,13.48,0.8,48884258,83.8,93,52.7,28.4,891697381
"KOREA CIRCUIT CO.,LTD",007810,Electronics and telecom equipment,4.15,0.4,56843798,82.8,1306,11.6,6,1017333191
"OPTICIS CO., LTD.",109080,Electronics and telecom equipment,8.53,-2.1,47888889,70.9,99,44.4,25,516348687
Suprema Inc.,236200,Electronics and telecom equipment,5.02,1.33,77358566,71.1,251,23.5,,1592143507
"PAVONINE CO., LTD.",177830,Electronics and telecom equipment,7.54,0.2,37688357,71.6,224,32.1,29.1,121349925
"INTERFLEX CO., LTD.",051370,Electronics and telecom equipment,5.5,-0.6,49554745,82.4,411,16.1,,404115817
FINE SEMITECH Corp.,036810,Electronics and telecom equipment,5.21,-0.3,54810526,84.5,855,35.4,13,534281343
Suprema HQ Inc.,094840,Electronics and telecom equipment,3.26,1.17,72677419,67.9,62,41.9,,2347139638
"KH VATEC Co., LTD",060720,Electronics and telecom equipment,8.67,2.6,61698492,90.3,199,5,32,1279057796
CU TECH CORPORATION,376290,Electronics and telecom equipment,10.34,1.5,48886462,98.5,39,30.8,14.3,1150001282
"JMT CO.,Ltd.",094970,Electronics and telecom equipment,7.12,4.42,75424800,38.9,15,20,,3584123360
Synopex Inc.,025320,Electronics and telecom equipment,5.97,-1.64,69290123,87.3,162,14.8,21.3,2224414761
"RS AUTOMATION CO.,LTD.",140670,Electronics and telecom equipment,7.47,0.6,52535032,55.2,157,21,16.6,828455918
