person_qid,person_name,en_wikipedia_article,title_qid,title_name,title_format,titles_this_person_has_here
Q229389,Yunjin Kim,Yunjin Kim,Q107565086,Money Heist: Korea - Joint Economic Area,series,6
Q229389,Yunjin Kim,Yunjin Kim,Q137836165,Notes from the Last Row,series,6
Q229389,Yunjin Kim,Yunjin Kim,Q391544,Shiri,film,6
Q229389,Yunjin Kim,Yunjin Kim,Q484869,Seven Days,film,6
Q229389,Yunjin Kim,Yunjin Kim,Q65241567,Pawn,film,6
Q229389,Yunjin Kim,Yunjin Kim,Q8052973,Yesterday,film,6
Q272329,Uhm Jeong-hwa,Uhm Jung-hwa,Q110627977,Our Blues,series,8
Q272329,Uhm Jeong-hwa,Uhm Jung-hwa,Q117035204,Doctor Cha Jung-sook,series,8
Q272329,Uhm Jeong-hwa,Uhm Jung-hwa,Q13218545,Montage,film,8
Q272329,Uhm Jeong-hwa,Uhm Jung-hwa,Q18145534,Mama,film,8
Q272329,Uhm Jeong-hwa,Uhm Jung-hwa,Q20002716,Wonderful Nightmare,film,8
Q272329,Uhm Jeong-hwa,Uhm Jung-hwa,Q4729958,All for Love,film,8
Q272329,Uhm Jeong-hwa,Uhm Jung-hwa,Q495128,Tidal Wave,film,8
Q272329,Uhm Jeong-hwa,Uhm Jung-hwa,Q771383,Princess Aurora,film,8
Q318485,Rain,Rain (entertainer),Q109342743,Ghost Doctor,series,3
Q318485,Rain,Rain (entertainer),Q109767798,Bloodhounds,series,3
Q318485,Rain,Rain (entertainer),Q114234890,Take 1,series,3
Q332998,Ryoo Seung-wan,Ryoo Seung-wan,Q487216,Oasis,film,1
Q380118,Hyun Bin,Hyun Bin,Q105584534,Confidential Assignment 2: International,film,7
Q380118,Hyun Bin,Hyun Bin,Q124799060,Made in Korea,series,7
Q380118,Hyun Bin,Hyun Bin,Q127510067,Harbin,film,7
Q380118,Hyun Bin,Hyun Bin,Q24862776,The Swindlers,film,7
Q380118,Hyun Bin,Hyun Bin,Q30612784,The Negotiation,film,7
Q380118,Hyun Bin,Hyun Bin,Q65258113,Crash Landing on You,series,7
Q380118,Hyun Bin,Hyun Bin,Q79998779,The Point Men,film,7
Q456182,Moon So-ri,Moon So-ri,Q108067645,Seoul Vibe,film,8
Q456182,Moon So-ri,Moon So-ri,Q116233325,Queenmaker,series,8
Q456182,Moon So-ri,Moon So-ri,Q117353211,When Life Gives You Tangerines,series,8
Q456182,Moon So-ri,Moon So-ri,Q139455537,The Apartment Job,series,8
Q456182,Moon So-ri,Moon So-ri,Q20444585,The Handmaiden,film,8
Q456182,Moon So-ri,Moon So-ri,Q24698311,The Legend of the Blue Sea,series,8
Q456182,Moon So-ri,Moon So-ri,Q487216,Oasis,film,8
Q456182,Moon So-ri,Moon So-ri,Q63109407,Juror 8,film,8
Q484471,Kim Hae-suk,Kim Hae-sook,Q107817259,Inspector Koo,series,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q110614173,Gyeongseong Creature,series,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q111795729,Our Season,film,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q112307747,Strong Girl Nam-soon,series,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q120721044,My Demon,series,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q124795628,Mr. Plankton,series,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q130748503,The Wonderfools,series,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q16174790,Sunflower,film,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q17401474,Pinocchio,series,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q18145534,Mama,film,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q20444585,The Handmaiden,film,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q30637480,RV: Resurrected Victims,film,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q492485,The Thieves,film,14
Q484471,Kim Hae-suk,Kim Hae-sook,Q61017351,Babel,series,14
Q484560,Jeong Da-bin,Jeong Da-bin,Q131844525,The Art of Sarah,series,1
Q77621,Yoo Yeon-seok,Yoo Yeon-seok,Q110633989,Narco-Saints,series,11
Q77621,Yoo Yeon-seok,Yoo Yeon-seok,Q111817993,My Heart Puppy,film,11
Q77621,Yoo Yeon-seok,Yoo Yeon-seok,Q114457789,The Interest of Love,series,11
Q77621,Yoo Yeon-seok,Yoo Yeon-seok,Q115890,A Werewolf Boy,film,11
Q77621,Yoo Yeon-seok,Yoo Yeon-seok,Q125524050,Whenever Possible,series,11
Q77621,Yoo Yeon-seok,Yoo Yeon-seok,Q129906152,No Other Choice,film,11
Q77621,Yoo Yeon-seok,Yoo Yeon-seok,Q130258195,When the Phone Rings,series,11
Q77621,Yoo Yeon-seok,Yoo Yeon-seok,Q131717000,Tastefully Yours,series,11
Q77621,Yoo Yeon-seok,Yoo Yeon-seok,Q136933517,Phantom Lawyer,series,11
Q77621,Yoo Yeon-seok,Yoo Yeon-seok,Q32846647,Mr. Sunshine,series,11
Q77621,Yoo Yeon-seok,Yoo Yeon-seok,Q83625648,Hospital Playlist,series,11
Q130894,Zo In-sung,Zo In-sung,Q107208538,Escape from Mogadishu,film,5
Q130894,Zo In-sung,Zo In-sung,Q116442876,Smugglers,film,5
Q130894,Zo In-sung,Zo In-sung,Q117429496,Hope,film,5
Q130894,Zo In-sung,Zo In-sung,Q131466792,Humint,film,5
Q130894,Zo In-sung,Zo In-sung,Q24856048,The King,film,5
Q153657,Choi Siwon,Choi Si-won,Q109767798,Bloodhounds,series,5
Q153657,Choi Siwon,Choi Si-won,Q113807005,Love Is for Suckers,series,5
Q153657,Choi Siwon,Choi Si-won,Q131412614,Forbidden Fairytale,film,5
Q153657,Choi Siwon,Choi Si-won,Q20730109,She Was Pretty,series,5
Q153657,Choi Siwon,Choi Si-won,Q492407,Poseidon,series,5
Q196223,Kim Hye-soo,Kim Hye-soo,Q108688881,Juvenile Justice,series,10
Q196223,Kim Hye-soo,Kim Hye-soo,Q111986155,Under the Queen's Umbrella,series,10
Q196223,Kim Hye-soo,Kim Hye-soo,Q116442876,Smugglers,film,10
Q196223,Kim Hye-soo,Kim Hye-soo,Q14795754,The Face Reader,film,10
Q196223,Kim Hye-soo,Kim Hye-soo,Q19792325,Coin Locker Girl,film,10
Q196223,Kim Hye-soo,Kim Hye-soo,Q19941239,First Love,film,10
Q196223,Kim Hye-soo,Kim Hye-soo,Q22974211,A Special Lady,film,10
Q196223,Kim Hye-soo,Kim Hye-soo,Q492485,The Thieves,film,10
Q196223,Kim Hye-soo,Kim Hye-soo,Q7690479,Tazza: The High Rollers,film,10
Q196223,Kim Hye-soo,Kim Hye-soo,Q93739112,The Day I Died: Unclosed Case,film,10
Q96625460,Choi Hyun-wook,Choi Hyun-wook,Q116007300,Weak Hero Class 1,series,4
Q96625460,Choi Hyun-wook,Choi Hyun-wook,Q122871938,High Cookie,series,4
Q96625460,Choi Hyun-wook,Choi Hyun-wook,Q132731541,Mantis,film,4
Q96625460,Choi Hyun-wook,Choi Hyun-wook,Q137836165,Notes from the Last Row,series,4
Q97097652,Lee Se-hee,Lee Se-hee,Q107029730,Young Lady and Gentleman,series,3
Q97097652,Lee Se-hee,Lee Se-hee,Q127690872,A Virtuous Business,series,3
Q97097652,Lee Se-hee,Lee Se-hee,Q136763742,My Royal Nemesis,series,3
Q105705503,Park Bo-kyung,Park Bo-kyung,Q131844525,The Art of Sarah,series,1
Q105706618,Cha Mi-kyung,Cha Mi-kyung,Q136373942,Dynamite Kiss,series,2
Q105706618,Cha Mi-kyung,Cha Mi-kyung,Q138266416,Spooky in Love,series,2
Q105706638,Chae Won-bin,Chae Won-bin,Q124619385,Doubt,series,3
Q105706638,Chae Won-bin,Chae Won-bin,Q133917515,Yadang: The Snitch,film,3
Q105706638,Chae Won-bin,Chae Won-bin,Q137711304,Sold Out on You,series,3
Q105706674,Choi Young-joon,Choi Young-joon,Q101252455,Vincenzo,series,3
Q105706674,Choi Young-joon,Choi Young-joon,Q107817259,Inspector Koo,series,3
Q105706674,Choi Young-joon,Choi Young-joon,Q109767798,Bloodhounds,series,3
Q107109595,Lee Chae-min,Lee Chae-min,Q113994390,Crash Course in Romance,series,4
Q107109595,Lee Chae-min,Lee Chae-min,Q124480568,Hierarchy,series,4
Q107109595,Lee Chae-min,Lee Chae-min,Q131910461,"Bon Appétit, Your Majesty",series,4
Q107109595,Lee Chae-min,Lee Chae-min,Q132152067,Cashero,series,4
Q107109848,Heo Nam-jun,Heo Nam-jun,Q111820593,When the Stars Gossip,series,3
Q107109848,Heo Nam-jun,Heo Nam-jun,Q130258195,When the Phone Rings,series,3
Q107109848,Heo Nam-jun,Heo Nam-jun,Q136763742,My Royal Nemesis,series,3
Q108314332,Won Ji-an,Won Ji-an,Q105226735,D.P.,series,2
Q108314332,Won Ji-an,Won Ji-an,Q124799060,Made in Korea,series,2
Q3335107,Ahn Nae-sang,Ahn Nae-sang,Q105324923,The Devil Judge,series,5
Q3335107,Ahn Nae-sang,Ahn Nae-sang,Q115858816,12.12: The Day,film,5
Q3335107,Ahn Nae-sang,Ahn Nae-sang,Q134606127,The Pact,film,5
Q3335107,Ahn Nae-sang,Ahn Nae-sang,Q15979736,The Pirates,film,5
